"Organization - Name","Organization - Labels","Organization - Address","Organization - People","Organization - Closed deals","Organization - Open deals","Organization - Next activity date","Organization - Owner","Organization - Won deals"
"Volvo Giurgiu Bucuresti","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"KERN & Sohn GmbH","Vendor","","4","0","0","","Alexandru Udrea","0"
"Laborex","Vendor","","3","3","0","","Alexandru Udrea","1"
"Mikado","Vendor","","0","0","0","","Alexandru Udrea","0"
"HADE Heinrich Dornseifer","Vendor","","1","0","0","","Alexandru Udrea","0"
"Ash Technologies","Vendor","","8","0","0","","Alexandru Udrea","0"
"Parcon Freiwald","Vendor","","5","0","1","","Alexandru Udrea","0"
"FATH Components","Vendor","","2","0","0","","Alexandru Udrea","0"
"3DGence","Vendor","","2","0","0","","Alexandru Udrea","0"
"Top Geocart","Vendor","","2","0","0","","Alexandru Udrea","0"
"EMC PARTNER AG","Vendor","","1","0","0","","Alexandru Udrea","0"
"SilverCut GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Motic Europe","Vendor","","6","0","0","","Alexandru Udrea","0"
"Wika Instruments Romania","Vendor","","1","0","0","","Alexandru Udrea","0"
"Scantech","Vendor","","3","0","0","","Alexandru Udrea","0"
"Spitalul de Pneumoftiziologie Braila","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Viking - DiPaul s.r.o","Vendor","","1","0","0","","Alexandru Udrea","0"
"DPV Elektronik-Service","Vendor","","3","0","0","","Alexandru Udrea","0"
"MTDI","Vendor","","2","0","0","","Alexandru Udrea","0"
"D es Tsa","Vendor","","2","1","0","","Alexandru Udrea","0"
"Xidoprod","Vendor","","1","0","0","","Alexandru Udrea","0"
"ARC Electronic","Vendor","","1","0","0","","Alexandru Udrea","0"
"TierTime","Vendor","","2","0","0","","Alexandru Udrea","0"
"Hulim","Vendor","","1","0","0","","Alexandru Udrea","0"
"Opto Engineering","Vendor","","3","0","0","","Alexandru Udrea","0"
"Robtools","Vendor","","2","0","0","","Alexandru Udrea","0"
"Ergowork","Vendor","","0","0","0","","Alexandru Udrea","0"
"ESD Consulting and Trading - Inspirate","Vendor","","1","0","0","","Alexandru Udrea","0"
"Helios-Preisser","Vendor","","1","0","0","","Alexandru Udrea","0"
"Panelectronics","Vendor","","1","0","1","","Alexandru Udrea","0"
"Eurostat","Vendor","","2","0","0","","Alexandru Udrea","0"
"Nilfisk","Vendor","","2","0","0","","Alexandru Udrea","0"
"BioMarker","Vendor","","0","0","0","","Alexandru Udrea","0"
"Opticron","Vendor","","0","0","0","","Alexandru Udrea","0"
"NeutronOptics","Vendor","","1","0","0","","Alexandru Udrea","0"
"LTHD","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Freedee Printing Solutions","Vendor","","1","0","0","","Alexandru Udrea","0"
"RX Solutions SAS","Vendor","","2","0","0","","Alexandru Udrea","0"
"Upet Scule Hidraulice","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Bollhoff","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Treston Oy","Vendor","","5","0","0","","Alexandru Udrea","0"
"Labor Security System","Vendor","","2","0","0","","Alexandru Udrea","0"
"Phoenix Glass","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Pheonix Laser","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Knuth Allmetech","Vendor","","2","0","0","","Alexandru Udrea","0"
"Hermes Abrazive","Vendor","","3","0","0","","Alexandru Udrea","0"
"Kocs","Vendor","","0","0","0","","Alexandru Udrea","0"
"KIMET","Vendor","","1","0","0","","Alexandru Udrea","0"
"Mondo Industry","Vendor","","1","0","0","","Alexandru Udrea","0"
"algona GmbH","Vendor","","2","0","0","","Alexandru Udrea","0"
"BNC 3D","Vendor","","0","0","0","","Alexandru Udrea","0"
"3 D DOT","Vendor","","0","0","0","","Alexandru Udrea","0"
"Sustenabil Verde","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Berd Trading","Vendor","","1","0","0","","Alexandru Udrea","0"
"Stotz Feinmesstechnik","Vendor","","2","0","0","","Alexandru Udrea","0"
"Shimadzu Handelsgesellschaft","Vendor","","2","0","0","","Alexandru Udrea","0"
"A & C Trading","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Scoala Kronstadt","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"MMID","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Elmet Int.","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Kulzer Technique","Vendor","","1","0","0","","Alexandru Udrea","0"
"Hirox Europe","Vendor","","2","0","0","","Alexandru Udrea","0"
"Trega LTD - Bulgaria","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"ExperBuy","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Hella Technical Center Craiova","CUSTOMER","","5","1","0","","Alexandru Udrea","0"
"Universitatea Petru Maior Targu Mures","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Siemens AG","CUSTOMER","","4","1","0","2023-02-27","Alexandru Udrea","0"
"ITGenetics","Vendor","","0","0","0","","Alexandru Udrea","0"
"Standard Service","Vendor","","3","0","0","","Alexandru Udrea","0"
"BASF Forward AM","Vendor","","1","0","0","","Alexandru Udrea","0"
"Testo Romania","Vendor","","1","0","0","","Alexandru Udrea","0"
"Ipexim Grup Brasov","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"B.A.R. Mernoki Iroda Bt","Vendor","","2","1","1","2026-03-06","Alexandru Udrea","0"
"Pixelink","Vendor","","1","0","0","","Alexandru Udrea","0"
"Vodex","Vendor","","7","0","0","","Alexandru Udrea","0"
"Telescop Expert","Vendor","","0","0","0","","Alexandru Udrea","0"
"Global Source MRK","Vendor","","14","0","0","","Alexandru Udrea","0"
"Clemex","Vendor","","2","0","0","","Alexandru Udrea","0"
"Photonic","Vendor","","1","0","0","","Alexandru Udrea","0"
"Amex Export - Import","Vendor","","3","1","0","","Alexandru Udrea","0"
"Pricon Graphics Romania","Vendor","","2","0","0","","Alexandru Udrea","0"
"Absolute Merestechnika Kft.","Vendor","","1","0","0","","Alexandru Udrea","0"
"Aberlink Romania","Vendor","","1","0","0","","Alexandru Udrea","0"
"ET System electronic","Vendor","","1","0","0","","Alexandru Udrea","0"
"Kreon Technologies","Vendor","","1","0","0","","Alexandru Udrea","0"
"Koh-I-Noor Hardtmuth Romania","Vendor","","1","0","0","","Alexandru Udrea","0"
"GreenForest","CUSTOMER","","2","22","0","","Alexandru Udrea","7"
"hera Laborsysteme GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Vigra Marketing & Services","Vendor","","1","0","0","","Alexandru Udrea","0"
"OPTIKA Italy","Vendor","","2","0","0","","Alexandru Udrea","0"
"Apium Additive Technologies GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Trokut Test Group","Vendor","","1","0","0","","Alexandru Udrea","0"
"Theleserv Electronics SRL","CUSTOMER","","1","1","0","","Alexandru Udrea","1"
"Dr.-Ing. Paul Christiani GmbH & Co. KG","Vendor","","1","0","0","","Alexandru Udrea","0"
"Wabeco","Vendor","","1","0","0","","Alexandru Udrea","0"
"TME - Transfer Multisort Elektronik","Vendor","","1","0","0","","Alexandru Udrea","0"
"CMIE Romania","Vendor","","1","0","0","","Alexandru Udrea","0"
"Versum Materials","Vendor","","1","0","0","","Alexandru Udrea","0"
"Werksitz","Vendor","","1","0","0","","Alexandru Udrea","0"
"DRAMET  Draht-und Metallbau GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"ABL&E-JASCO Romania","Vendor","","1","0","0","","Alexandru Udrea","0"
"SBF Multi Technics","Vendor","","1","0","0","","Alexandru Udrea","0"
"Office Direct","Vendor","","1","0","0","","Alexandru Udrea","0"
"Tente","Vendor","","2","0","0","","Alexandru Udrea","0"
"Opto GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Jomesa","Vendor","","1","0","0","","Alexandru Udrea","0"
"Ellsworth Adhesives","Vendor","","1","0","0","","Alexandru Udrea","0"
"JAVAD GNSS","Vendor","","2","0","0","","Alexandru Udrea","0"
"Plastteh","Vendor","","4","0","0","","Alexandru Udrea","0"
"Gear Moto SRL","CUSTOMER","","1","2","0","","Alexandru Udrea","0"
"LISTA AG","Vendor","","1","0","0","","Alexandru Udrea","0"
"Polak CZ","Vendor","","1","0","0","","Alexandru Udrea","0"
"Sinterit","Vendor","","1","0","0","","Alexandru Udrea","0"
"ELPRO BUCHS AG","Vendor","","1","0","0","","Alexandru Udrea","0"
"Tecnosoft Italy","Vendor","","2","0","0","","Alexandru Udrea","0"
"Akytec GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"OHAUS Europe GmbH","Vendor","","2","0","0","","Alexandru Udrea","0"
"Medical University of Sofia","CUSTOMER","","2","2","0","","Alexandru Udrea","0"
"Intamsys Technology","Vendor","","3","0","0","","Alexandru Udrea","0"
"F64 Studio","Vendor","","4","0","0","","Alexandru Udrea","0"
"BINDER GmbH","Vendor","","3","0","0","","Alexandru Udrea","0"
"Instrumart","Vendor","","2","0","0","","Alexandru Udrea","0"
"Tecnoservice Equipment","Vendor","","1","0","0","","Alexandru Udrea","0"
"XIMEA GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"EAS GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Micronix","Vendor","","4","0","0","","Alexandru Udrea","0"
"Acal BFi Germany GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Future Electronics","Vendor","","2","0","0","","Alexandru Udrea","0"
"Daosafe Technology","Vendor","","1","0","0","","Alexandru Udrea","0"
"Teclab USA","Vendor","","1","0","0","","Alexandru Udrea","0"
"JABAMA Grzegorz Leszczynski","Vendor","","1","0","0","","Alexandru Udrea","0"
"Mining and Geological Survey of Hungary","CUSTOMER","","1","0","2","","Alexandru Udrea","0"
"Yokogawa Europe B.V.","Vendor","","2","0","0","","Alexandru Udrea","0"
"Heinzinger electronic GmbH","Vendor","","4","0","0","","Alexandru Udrea","0"
"Spellman High Voltage Electronics Ltd.","Vendor","","1","0","0","","Alexandru Udrea","0"
"Acopian Technical Company","Vendor","","1","0","0","","Alexandru Udrea","0"
"DSC-Electronics Germany","Vendor","","1","0","0","","Alexandru Udrea","0"
"PCE Instruments","Vendor","","2","0","0","","Alexandru Udrea","0"
"Quantech Works","Vendor","","2","0","0","","Alexandru Udrea","0"
"Sartorius AG - Teknoleb Laboratory","Vendor","","2","0","0","","Alexandru Udrea","0"
"O.F. Systems","Vendor","","2","0","0","","Alexandru Udrea","0"
"Scientifica","Vendor","","1","0","0","","Alexandru Udrea","0"
"Partner Corporation","Vendor","","1","0","0","","Alexandru Udrea","0"
"UFP Deutschland GmbH","Vendor","","2","0","0","","Alexandru Udrea","0"
"HYPO Tech & Consulting","Vendor","","2","0","0","","Alexandru Udrea","0"
"dhs Solution","Vendor","","2","0","0","","Alexandru Udrea","0"
"Spy Shop","Vendor","","1","0","0","","Alexandru Udrea","0"
"Atlantic Abrasive","Vendor","","1","0","0","","Alexandru Udrea","0"
"ABEBA Spezialschuh-Ausstatter GmbH","Vendor","","2","0","0","","Alexandru Udrea","0"
"Garmin","Vendor","","1","0","0","","Alexandru Udrea","0"
"Envirotronic","Vendor","","1","0","0","","Alexandru Udrea","0"
"Nitech","Vendor","","2","1","0","","Alexandru Udrea","0"
"Global Laser Ltd","Vendor","","1","0","0","","Alexandru Udrea","0"
"Suntem 3D","Vendor","","1","0","0","","Alexandru Udrea","0"
"Sanito","Vendor","","2","0","0","","Alexandru Udrea","0"
"CAMEREDIGITALE.RO","Vendor","","1","0","0","","Alexandru Udrea","0"
"Vexio","Vendor","","1","0","0","","Alexandru Udrea","0"
"Chemical Company","Vendor","","1","0","0","","Alexandru Udrea","0"
"Praezisions Glas & Optik GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Morphisto","Vendor","","1","0","0","","Alexandru Udrea","0"
"Leonardo Group kft","Vendor","","1","0","0","","Alexandru Udrea","0"
"Nexa3D","Vendor","","1","0","0","","Alexandru Udrea","0"
"Euromex microscopen bv","Vendor","","2","0","0","","Alexandru Udrea","0"
"iMakr","Vendor","","2","0","0","","Alexandru Udrea","0"
"Omega TMM","Vendor","","2","0","0","","Alexandru Udrea","0"
"TDK RF SOLUTIONS","Vendor","","3","0","0","","Alexandru Udrea","0"
"Hacona Packaging Technology","Vendor","","1","0","0","","Alexandru Udrea","0"
"Antistat UK","Vendor","","1","0","0","","Alexandru Udrea","0"
"Huvitz","Vendor","","1","0","0","","Alexandru Udrea","0"
"Metronserv","Vendor","","1","0","0","","Alexandru Udrea","0"
"Canpower","Vendor","","1","0","0","","Alexandru Udrea","0"
"ATLAS Schuhfabrik","Vendor","","2","0","0","","Alexandru Udrea","0"
"Gotschlich Group","Vendor","","1","0","0","","Alexandru Udrea","0"
"Global Energy","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Carl Zeiss Instruments","Vendor","","1","0","0","","Alexandru Udrea","0"
"Gibitre Instruments s.r.l.","Vendor","","2","0","0","","Alexandru Udrea","0"
"Machines 3D","Vendor","","3","0","0","","Alexandru Udrea","0"
"Morphoza","CUSTOMER","","3","1","0","","Alexandru Udrea","0"
"Bosch Static Control Ltd.","Vendor","","2","0","0","","Alexandru Udrea","0"
"AgroSilva","Vendor","","1","0","0","","Alexandru Udrea","0"
"Guangzhou Yifeng Technology Electron","Vendor","","1","0","0","","Alexandru Udrea","0"
"Euro Busines S.R.L","Vendor","","2","0","0","","Alexandru Udrea","0"
"MultiLab","Vendor","","2","0","0","","Alexandru Udrea","0"
"Struers GmbH","Vendor","","2","0","0","","Alexandru Udrea","0"
"Institutul Român de Știință și Tehnologie","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Patrascu & Gane Engineering Company","Vendor","","2","0","0","","Alexandru Udrea","0"
"Hesse","Vendor","","1","1","0","","Alexandru Udrea","0"
"Unicomp Technology","Vendor","","1","0","0","","Alexandru Udrea","0"
"Stemmer Imaging","Vendor","","1","0","0","","Alexandru Udrea","0"
"PFA Moane Ionut","Vendor","","1","1","0","","Alexandru Udrea","0"
"Intema Sp.","Vendor","","1","0","0","","Alexandru Udrea","0"
"GSS Group","Vendor","","1","0","0","","Alexandru Udrea","0"
"Dedienne Roumanie","CUSTOMER","","2","1","0","","Alexandru Udrea","1"
"Knauf Gips SRL","Vendor","","1","0","0","","Alexandru Udrea","0"
"W-TECH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Branson Ultrasonics","Vendor","","1","0","0","","Alexandru Udrea","0"
"Insize","Vendor","","1","0","0","","Alexandru Udrea","0"
"ALFA METAL MACHINERY GROUP","Vendor","","1","0","0","","Alexandru Udrea","0"
"DSSI International","CUSTOMER","","1","1","0","","Alexandru Udrea","1"
"BeeWaTec EastTrade S.R.L.","Vendor","","1","0","0","","Alexandru Udrea","0"
"Sariki Metrologia","Vendor","","1","0","0","","Alexandru Udrea","0"
"ToupTek Photonics","Vendor","","1","0","0","","Alexandru Udrea","0"
"Thorlabs GmbH","Vendor","","6","0","0","","Alexandru Udrea","0"
"Mshot","Vendor","","1","0","0","","Alexandru Udrea","0"
"Farnell","Vendor","","1","0","0","","Alexandru Udrea","0"
"AFFRI","Vendor","","1","0","0","","Alexandru Udrea","0"
"CHESTERTON Hungary Kft","Vendor","","1","0","0","","Alexandru Udrea","0"
"F.K. Instrument","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Auer Packaging","Vendor","","1","0","0","","Alexandru Udrea","0"
"Tech Service","Vendor","","1","0","0","","Alexandru Udrea","0"
"Advanced Manufacturing Services (AMS) Ltd","Vendor","","1","0","0","","Alexandru Udrea","0"
"Trespa International NV","Vendor","","1","0","0","","Alexandru Udrea","0"
"KIST + ESCHERICH GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Avitech","CUSTOMER","","1","2","0","","Alexandru Udrea","1"
"Gimlab","Vendor","","3","0","0","","Alexandru Udrea","0"
"InterNET","Vendor","","1","0","0","","Alexandru Udrea","0"
"Glaser GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"KOVOSVIT MAS Machine Tools","Vendor","","1","0","0","","Alexandru Udrea","0"
"Danutek Balkans SRL","Vendor","","1","1","0","","Alexandru Udrea","0"
"SET INTERNATIONAL SRL","Vendor","","1","0","0","","Alexandru Udrea","0"
"Wilhelm Winter GmbH & Co. KG","Vendor","","2","0","0","","Alexandru Udrea","0"
"H TEST Romania SRL","Vendor","","2","0","0","","Alexandru Udrea","0"
"Brose d.o.o. Pančevo","CUSTOMER","","1","1","0","","Alexandru Udrea","1"
"Trisport","Vendor","","1","0","0","","Alexandru Udrea","0"
"X-treme Series","Vendor","","2","0","0","","Alexandru Udrea","0"
"Kottermann GmbH","Vendor","","2","0","0","","Alexandru Udrea","0"
"One3D","Vendor","","1","0","0","","Alexandru Udrea","0"
"Stat-X Kft","Vendor","","1","0","0","","Alexandru Udrea","0"
"mateco Romania","Vendor","","1","0","0","","Alexandru Udrea","0"
"Politia Romana","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"CADWorks","Vendor","","5","0","0","","Alexandru Udrea","0"
"Italia Instruments","Vendor","","2","1","0","","Alexandru Udrea","0"
"Politechnika Gdanska","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"JAI A/S","Vendor","","1","0","0","","Alexandru Udrea","0"
"Allied Vision Technologies GmbH","Vendor","","4","0","0","","Alexandru Udrea","0"
"RoWaves Technologies","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Epsa Market Place","CUSTOMER","","1","2","0","","Alexandru Udrea","2"
"Trieurodata","CUSTOMER","","1","1","1","","Alexandru Udrea","0"
"Dataflex International BV","Vendor","","1","0","0","","Alexandru Udrea","0"
"AMI Machine Technology","Vendor","","1","0","0","","Alexandru Udrea","0"
"De Wit Elektronika B.V","Vendor","","1","0","0","","Alexandru Udrea","0"
"E-PlastBase SRL","Vendor","","2","0","0","","Alexandru Udrea","0"
"KOR Group","CUSTOMER","","9","28","0","","Alexandru Udrea","6"
"Ropeco","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Office & More SRL","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"IDCP","Vendor","","1","0","0","","Alexandru Udrea","0"
"Intel Movidius","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Megora","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Accenture","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Layer7 AI GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Pekat Vision","Vendor","","4","0","0","","Alexandru Udrea","0"
"Build Brothers","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Osma Mast","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Quiptech","CUSTOMER","","1","0","1","","Alexandru Udrea","0"
"Vulcom","Vendor","","0","0","0","","Alexandru Udrea","0"
"Burdinola","Vendor","","1","0","0","","Alexandru Udrea","0"
"Marina Prodprest Galati","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Renex","Vendor","","1","0","0","","Alexandru Udrea","0"
"Universitatea din Petrosani","CUSTOMER","","1","2","0","","Alexandru Udrea","1"
"INMAACRO","Vendor","","5","0","0","","Alexandru Udrea","0"
"MATRIX Gmbh","Vendor","","2","0","0","","Alexandru Udrea","0"
"Mitutoyo Romania S.R.L.","Vendor","","1","0","0","","Alexandru Udrea","0"
"EFD Induction","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"autoVimation GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Trojan Material Technology","Vendor","","1","0","0","","Alexandru Udrea","0"
"Logimarkt","Vendor","","2","0","0","","Alexandru Udrea","0"
"Universal Tools","CUSTOMER","","1","2","0","","Alexandru Udrea","0"
"Desco Europe","Vendor","","2","0","0","","Alexandru Udrea","0"
"Neurocle Inc","Vendor","","4","0","0","","Alexandru Udrea","0"
"NAGY Messsysteme GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"JBC Soldering","Vendor","","2","0","0","","Alexandru Udrea","0"
"Dynamic Instruments","Vendor","","1","0","0","","Alexandru Udrea","0"
"Hallins Sales AB","Vendor","","1","0","0","","Alexandru Udrea","0"
"HanseLifter GESUTRA GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Novatronic SRL","Vendor","","2","0","0","","Alexandru Udrea","0"
"Plastitek","CUSTOMER","","2","2","0","","Alexandru Udrea","0"
"Hoytom","Vendor","","2","0","0","","Alexandru Udrea","0"
"Zemic","Vendor","","1","0","0","","Alexandru Udrea","0"
"Spectromas","Vendor","","2","0","0","","Alexandru Udrea","0"
"Gimplast SRL","CUSTOMER","","1","0","1","","Alexandru Udrea","0"
"Andreescu Labor & Soft","Vendor","","1","0","0","","Alexandru Udrea","0"
"Stepan & Co SRL","Vendor","","1","0","0","","Alexandru Udrea","0"
"Inspekto","Vendor","","1","0","0","","Alexandru Udrea","0"
"Gruppo Strola Srl","Vendor","","1","0","0","","Alexandru Udrea","0"
"PF Dia Stuparu","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"TPL Vision","Vendor","","1","0","0","","Alexandru Udrea","0"
"CVMS Climatic","Vendor","","1","0","0","","Alexandru Udrea","0"
"SCHURTER Electronic Components","CUSTOMER","","1","1","0","","Alexandru Udrea","1"
"Kulzer SRL","CUSTOMER","","1","1","0","","Alexandru Udrea","1"
"EBS Electronic Petrosani","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Risk Management Company","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Midori Auto Leather Europe","CUSTOMER","","2","1","1","2026-04-03","Alexandru Udrea","1"
"Guentner Jaeggi Industries S.R.L","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Blume Technologies","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Heilwasser Quelle","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Projectina AG","Vendor","","1","0","0","","Alexandru Udrea","0"
"Ferrobeton Romania","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"XpectralTEK","Vendor","","2","1","0","","Alexandru Udrea","0"
"Eurodent","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"ICPE-CA","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Laser Mold SRL","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Cloeren Technology GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Prometeo Instal","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Simetric Engineering Arad","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Digital Progresiv SRL","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"API Metrology","Vendor","","1","0","0","","Alexandru Udrea","0"
"Transformatorul Arad","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Rotek Milling","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Coantec Ltd.","Vendor","","1","0","0","","Alexandru Udrea","0"
"Valiant TMS Romania","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Emdep","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Oviso Robotics","CUSTOMER","","3","0","0","","Alexandru Udrea","0"
"Ferex Partner","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"KAISER+KRAFT","Vendor","","1","0","0","","Alexandru Udrea","0"
"SIMEA Sibiu","CUSTOMER","","5","5","0","","Alexandru Udrea","1"
"Pixelr Innovations Pvt. Ltd.","Vendor","","1","0","0","","Alexandru Udrea","0"
"RBW Elite Conbet Group","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Universitatea Tehnica a Moldovei","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Radiocom","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Evatronix","Vendor","","1","0","0","","Alexandru Udrea","0"
"NEOTEHNOLUX","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Coxem","Vendor","","1","0","0","","Alexandru Udrea","0"
"CRG Industrial Services","Vendor","","2","0","0","","Alexandru Udrea","0"
"LINAK International EMEA","Vendor","","1","0","0","","Alexandru Udrea","0"
"Endo-Tech","Vendor","","1","0","0","","Alexandru Udrea","0"
"Ergoswiss AG","Vendor","","1","0","0","","Alexandru Udrea","0"
"Foresite, Inc","Vendor","","1","0","0","","Alexandru Udrea","0"
"Z Spot Media","Vendor","","1","0","0","","Alexandru Udrea","0"
"Jacob Today","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Cyclops Synergies, S.L.","Vendor","","1","0","0","","Alexandru Udrea","0"
"PFA Cosmin Mighiu","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Intramark","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"HPL high performance lubricants GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
